"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Raw25",0.0222394763484096,-0.000150690925409219,0.0466916073688448,-0.0631022353861002,0.0989181035858805,-0.0865264944369864,0.0321208157565408,-0.0274370357530051,0.0142686687347634,-0.0312007508070009,0.0772040666187473,-0.0712346545355935,0.0792416593029012,-0.0461066121847793,0.0193524535258076,-0.0519748836044195,-0.0652014094587366,0.0623933585185849,0.00330945386958548,-0.0386051883864345,-0.069304670113568,0.0807250061668274,-0.00914717867112263,0.0097564117599686,-0.0625884526240526,0.0354643279130015,0.0575093066302217,-0.029696025618601,0.0469865742967427
"Raw26",0.00131388091186831,-0.0268176809059814,-0.00363585353620522,0.12000956624522,-0.126209453824954,0.0150301856865097,0.03196341775636,-0.0469200150909149,0.0470581619041636,-0.0229423712420233,0.0352724280717013,-0.0398072433085776,-0.047379434331162,-0.0119623247294297,0.0352440929032558,-0.0165212220045039,0.0734434289577646,-0.0739140684417334,0.0112752046069886,0.0352777922231979,-0.00310957629572437,-0.0195342176363904,-0.0059872694140359,0.0128373723172233,0.0695527997880327,-0.0611164055342751,-0.0220667771691215,0.00730980695821828,-0.0217516338548422
"Raw27",0.0125332812170627,0.0154621805184544,-0.0238794374312851,0.0164517404926847,0.0265322413829522,0.026320407173958,-0.00620776146464354,-0.0304117943781911,0.0328631693914124,-0.030039683050857,-0.00524038184945166,0.021016252768411,-0.00746063533012545,0.0879661453815735,-0.0304408345283322,0.0446794372775098,-0.0418846609999213,0.0399832290360645,0.00789841975968248,0.0187370512967976,0.0601809904747385,-0.0363033371614877,0.0536948055205064,-0.0278162548455943,0.0131857538231161,0.00904723248431195,-0.0513203619683201,-0.0447298369829132,-0.0263810064653197
"Raw28",-0.0153624591890932,-0.0123162638867925,0.00602953092707004,0.0125827160451579,-0.0466393994693623,0.0100476511389821,-0.0321983463560201,0.0384570016284622,-0.0429244944148093,0.0190165415710807,0.0391713105317272,-0.0651749492984174,0.0138973555604718,0.0403020985405674,0.0201792765454862,-0.0109458891637966,0.0132828083847838,-0.038925294999427,0.0965389907666458,-0.125227814817614,0.0127161581318852,-0.0342056155325683,-0.0944326793689161,0.0625571912972376,0.000970324921952328,0.00134671026968611,-0.0244513398664345,0.072916383444939,-0.0121446300923826
"Raw29",-0.0143818841397938,-0.0888755740956232,0.0621158763936969,0.0280419117047685,-0.0456246868709428,0.0639731802945172,-0.0369415374565321,0.00552241002250892,0.00610924913121601,-0.00372839338933981,-0.0116533324908438,0.0253299308753032,-0.0302776100625424,-0.00327614572736409,0.0199317540597592,-0.00864201215258273,0.0380874550142947,-0.000513464047863231,0.0337962025282443,-0.0522792448643792,0.0253088791761468,-0.00201070658341154,0.0492148087893246,-0.043749577056993,-0.022081927868195,0.0290121874415609,-0.00557093828226375,0.0268030894816702,-0.034149793059525
"Raw30",-0.0270953116860329,0.00668019244921978,-0.0082791511034819,-0.0256232069206148,0.0395424703040057,-0.00215159905012775,-0.0112737056998032,-0.0412089929941189,0.0179583083544108,-0.0160269621235995,-0.0939333763469494,0.0983296555206781,0.0384085293229757,0.0984680930980321,0.0119987037762325,-0.0280633996369743,-0.086083809391118,0.0516451979941948,0.0107043290123377,0.00898225922053812,-0.0985071525431992,0.0540064201049259,0.0357219101889423,-0.00791766309703376,0.00523426866038013,0.0150471522544939,0.0182057930392335,-0.0511422580318391,-0.0328404718165834
"Raw31",-0.0535713343189262,-0.0634617064511436,0.080021947960188,-0.0700046342483086,-0.0344733557233333,-0.00523424883662056,0.0197532935204958,0.0218447372532452,-0.0321688599997006,0.112088060678515,0.0727592141476777,-0.0682184084474607,-0.0164723882665351,-0.00939356881862219,0.0083422097260652,-0.00832388891768603,-0.035704032881184,0.0354065234767101,0.0319914003646779,-0.00693687398647144,0.0505076740481486,-0.0551122269441906,0.0475340690767609,-0.0387052072575574,0.0143835931760467,-0.0161709044824797,0.0210584506611665,-0.0374963309764436,0.0350946252882998
"Raw32",0.0136256588109485,0.0230038168712344,-0.049520303580382,0.0439703208818617,-0.0199826715990938,0.0492880597364944,0.0274707573511783,-0.0348024445106963,0.0277721487685155,-0.0350155519517404,-0.00976183448372779,0.0113685979309541,-0.0594387066595363,-0.0416471633771911,0.0116279818181269,0.00686872847068816,0.115530631331851,-0.156163123649401,0.0485937541832363,-0.0644703394048689,0.0289774562884247,-0.0119293888936466,0.0400931576521113,-0.0390309396918334,0.0439194192081309,-0.0341633903344575,-0.0394729022458205,0.00695721360131447,0.0228059047052527
"Raw33",-0.0899435847271487,0.00829881284249823,0.00157897053190587,0.00837849993805488,-0.00138005197931346,-0.060039695821998,0.0169770477732432,-0.0122559724873161,0.00715199369371184,-0.0122596540081324,-0.045021904680447,0.0391403813412395,0.041603082459227,-0.0162947701262586,-0.00723529392765836,-0.0151874532051389,-0.0269068571804683,0.0308315247908573,0.00818584677003837,0.0221392111648731,-0.0347752392619973,-0.000542441901676589,0.0416459140660837,-0.00814633888948262,0.00174357531508408,-0.00708595320300872,0.0473348542709553,-0.0593019751596321,0.0231220570447094
"Raw34",-0.016724313277896,0.0231594210640006,-0.0329018141145445,0.00863399681608256,0.069279304467876,0.00257716871100487,-0.00225274831981669,-0.0372294844202098,0.0443962142313637,-0.079329156153865,0.00223506881281144,-0.0252992831198856,-0.0160730247913349,0.00376377205604121,-0.105541847426821,0.0713340307688678,0.0175161482620362,-0.0161401657840942,-0.0451123177976455,0.0339329430692444,0.0628378189102067,-0.0716460346382555,-0.0364854271517949,0.0214069407276054,-0.035291840984476,0.0442707357619364,0.0481458324435545,0.0471886320210679,-0.0888235144832945
"Raw35",0.0312851165066038,0.0230919341415337,-0.0116813711122302,-0.0080219969416012,0.0427445661216667,-0.0202650350347711,0.085987451215144,-0.00862189263391868,0.0058889841716273,-0.0209811803739405,0.0199207511401441,-0.0174867006579268,-0.0439663185085464,0.0449990833028226,-0.0180227859714141,0.00354021409247464,0.0549166947695768,-0.0885031475088418,-0.0222968006018074,0.00542702086560782,-0.032436795587492,0.0422777278285734,0.00428599340356805,0.0257366505293223,-0.0107039472835081,0.0360348747058333,0.0146903463632526,-0.0706627732656386,-0.093621244194607
"Raw36",0.01151090629736,-0.00599784983613767,-0.0286179448543236,-0.0329009600620189,0.0840272854975635,0.12078441097288,-0.107023792452738,0.0162835803820502,-0.0162520105405574,-0.0409981373615771,-0.00674439610756161,0.0118377405942985,-0.0219743499025863,-0.0326877342424183,-0.0234130263894964,0.0316669287089686,-0.017181810382712,0.0121447699709411,-0.0265492841474563,0.0438928600462103,0.0401958913081124,-0.0111775218453062,0.0129806405424323,-0.0368036428832716,-0.0787108076704055,0.0634178351724108,-0.0180643428347293,0.0899181320396473,0.0176075356868736
"Raw37",-0.02275550397323,-0.00565019742233722,-0.00156867997375344,-0.0097172727627395,-0.0335449994057173,0.0323499314703258,-0.0714315868539176,0.0635256445171988,-0.0451159923494472,0.0446740953452304,-0.00529111080481242,0.00973101212522849,0.038256408988693,0.09631422188022,-0.0610594005135026,0.0482573448159216,0.00254233189063333,0.0197282073569431,0.0429907343784195,-0.00746175041666083,-0.00449082711906863,0.0285582260044783,0.025829102563403,-0.0459729445704768,0.00842419319220962,0.00888800899795318,-0.00425241247434854,0.0116938828841362,-0.0194755506955126
"Raw38",0.00626895275273205,-0.0328464853977063,0.0498479043273908,-0.0724167142281327,0.0130539904251489,-0.000122521441879149,-0.015938640439042,0.0240066781412551,-0.0410890500529509,0.0854635824817805,-0.0304522784398117,0.0341329848466489,0.00365713578660985,-0.0509656855792227,-0.0281770576319683,-0.0261129098215782,0.035820836761671,-0.027202576487688,-0.00859175520100404,0.0460473274684924,-0.00690315183685129,0.007949530012762,-0.0565072812356796,0.0619975838993226,-0.0283137388170893,0.0108443524388856,0.115290710611302,-0.033042586668382,0.059685815427946
