"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"Raw34",0.0237112770372475,0.0231153465578809,-0.032953980203016,0.00863513151608592,0.069307678587135,0.00244208656385657,-0.00222042473514701,-0.0372045068847929,0.0443855783208796,-0.0793451802082702,0.00221201315005474,-0.0253006640749134,-0.016015409133724,-0.105551553388743,0.0713494127726161,0.0175184553044226,-0.0161389570788581,-0.0451322188589324,0.0339440921468415,0.0628437362283442,-0.071650784220723,-0.0364885891360842,0.0214113608857856,-0.035260257083376,0.0444652640314091,0.0481285228312011,0.0471804716103305,-0.0908561675680583
"Raw35",0.0549968806751618,0.0231025881315993,-0.0115694616126778,-0.00800620263375676,0.0427526416722786,-0.0203174406184299,0.0862094719887281,-0.00860586627465088,0.00587902019398551,-0.0209981441855785,0.0199224764716888,-0.0174824369673591,-0.0437651589811519,-0.0180268311114058,0.00354867512044873,0.0549164455146119,-0.0885017690939627,-0.0223093737133708,0.00543222370386548,-0.0324356358643453,0.0422718640237238,0.00428332012710536,0.0257384924645769,-0.0111963840416979,0.0357525474964894,0.0146814781768879,-0.0706624463422597,-0.0852116187355695
"Raw36",0.0422559710750791,-0.00619425349447732,-0.0292730448287543,-0.032952814399956,0.0840646781189135,0.120600559975275,-0.106672633678551,0.0162929790036184,-0.0162512069340516,-0.0409430688680575,-0.00675900728640948,0.0118543885311868,-0.0215529792269968,-0.0234219745570174,0.0316786063794745,-0.0171734295147202,0.0121403715982912,-0.0265498745072955,0.043900972105274,0.0401945987236662,-0.0111642338731204,0.0129825380841154,-0.0367961559636246,-0.078340899406111,0.0640253916792782,-0.0180712174446549,0.0898999598760836,0.0159207607972129
"Raw37",0.0194944125907119,-0.0053036041964471,-0.00137882612145877,-0.00961934697988753,-0.0335823238031625,0.032489658759506,-0.0714665291426036,0.0635124642504796,-0.0451164585987416,0.0445912719252038,-0.00529644324524111,0.00972749369350429,0.0386423929100227,-0.0610267080104647,0.0482079877062835,0.00252603912351591,0.0197335812506226,0.0429791012017646,-0.00746560610967488,-0.00450849699771031,0.0285560727865623,0.0258265617174406,-0.0459818778018855,0.0081350143810536,0.00850655710506596,-0.00421826238155824,0.0117190092832067,-0.0281858975456302
"Raw38",0.0386164265576506,-0.0327157215318342,0.0499466820381995,-0.0724059636406786,0.0130126564292646,0.000112917316821773,-0.0161892123868111,0.0239825003933375,-0.041080228853915,0.0854595155813,-0.0304376837807876,0.0341233620665404,0.00324877772055784,-0.0281536300582281,-0.0261460949411477,0.0358135168851726,-0.0272029497316914,-0.00858362947690722,0.0460413361632373,-0.00691426622607427,0.00796019712376526,-0.0565023002067558,0.0619903084541862,-0.027906120255459,0.0112902477966887,0.115319209727337,-0.0330312841358268,0.0650201984492522
"Raw39",0.00889698010773144,0.00150864387824551,0.0013486660592738,-0.0218412697841574,0.0320628187846177,-0.0183131183456579,0.0406448080156296,0.0215664498437212,-0.0238982868449965,-0.00210733474554962,0.00430204651470845,-0.0198347508708179,-0.025642630518595,-0.0696354084403564,0.0756438530059925,-0.0218410304120678,-0.000451085711968684,0.0426489681096394,-0.0262424473164775,-0.00395933119751302,-0.0528745559500489,-0.0383241935779129,0.041859312964721,0.0132671629125408,0.00772572702587664,-0.0110063999029165,-0.0489832785932627,-0.0132881201894724
"Raw40",-0.00776181581492776,-0.0545353969018072,0.0184313589687078,0.0244596125318287,0.00616766058077254,0.0734737902287819,-0.103354662055804,0.0258621195948591,-0.0136876426485715,-0.0346076834157731,-0.0581772699942696,0.0678509885159684,0.0125360898786177,-0.0310780590831201,0.0587993646821391,0.0294514800861023,-0.0045354902961137,0.0887082762596607,-0.0636806009331259,0.0337745780739071,-0.0371558152195761,0.0472998488537625,-0.0113854324060315,-0.0563291931749773,0.0462384082928645,-0.0644680859728964,-0.0511343183311855,0.0507060217566753
"Raw41",0.0460435836485016,0.0521915142982159,-0.0487811582495321,0.0180439856032542,0.052429626325267,-0.027787839337407,0.0216519881349431,0.00590567083016242,0.00561174711659415,-0.0803487534387358,-0.0479552003201021,0.033325699095537,0.0192898245104941,-0.105306173049676,0.099121510665453,0.0195283507524202,0.00901839325800185,-0.0704683994641489,0.0546229747936979,-0.00208127842301123,0.0100756991909429,-0.0333861260014176,0.0343488221811715,0.00175860111736214,-0.0246013297814188,-0.00825391708395497,-0.0431044600389917,0.0353707339778098
"Raw42",-0.0182763685877488,-0.0398782449320444,0.0490372418595996,-0.0168318622643001,0.00252466434685789,-0.0326374309117094,0.0620566705313728,0.0248944629735724,-0.0269927475354041,0.00746341282452143,0.00671705134622618,-0.00378245558349271,-0.0188109665953158,0.0404820557004536,-0.0414384080993365,-0.0500525300083231,0.0474707691504732,0.0368986785526957,-0.0508407785821371,-0.0569349676306533,0.0406805065425725,-0.012674211714999,0.0162729966544054,-0.0205474488388293,0.0268627609393838,0.0043050762783901,-0.00853475010320618,-0.0349563325516501
"Raw43",0.0539407868529807,-0.0532395280213778,0.0636626527930257,-0.0498784618992564,-0.0379662811435536,0.0170127979805744,0.0249065298644422,0.0724455068764529,-0.0656758290198412,0.0936454368403535,0.00782562066813951,-0.0134636858520788,-0.0559524374784807,-0.0270152802807908,0.0407729736242432,-0.00866604594311676,0.00979824258075114,0.0537585488663024,-0.0725687258321462,-0.0427371733591386,0.0651198419539408,-0.0127577833388771,0.0199601239490894,0.0359573071739878,-0.0457311399882703,-0.0319147453825985,-0.0181747948853817,0.00196127587889242
"Raw44",0.088509976308529,0.0126445905229184,-0.0151905640554825,-0.0313692030379598,-0.00403480336578275,0.0604808520921218,0.0165776782554038,0.106869108758752,-0.0979315360370437,0.0493966906260759,0.0261707084190971,-0.0193936568954176,-0.0782824502257256,0.00787034370129051,0.0304928428955428,0.0614851734076489,-0.0550213859406654,0.00329422549958211,0.00637451544816677,0.0249525930750053,-0.0345327671000108,0.00780180794140328,0.0800058607020224,-0.0274681451030226,0.0344750365930513,-0.0733009449048162,-0.18009980364216,0.00701835418320069
"Raw45",0.0310547936032147,-0.00177370743934613,0.0121691009707444,-0.0456866483858708,0.0384868166614693,0.00663140995195974,-0.0224826189570609,0.0328218989226444,-0.0501951684975696,0.0242140519775164,-0.0277156320216372,0.0140407926183627,0.016350382307304,0.0252664091309073,-0.0125653491907429,0.0083997477553964,-0.0234407328859815,0.0442550847732465,-0.0286408287112619,-0.00108543949037327,-0.054412843199776,-0.00425779108698835,0.000950970204732461,0.076066692367764,-0.060310977202062,-0.0235792298400573,-0.0177371170407277,-0.0186773515614353
"Raw46",0.0622468013560339,-0.0521565234312422,0.0383729215964244,0.0330619906943758,0.0137298054912106,0.0321581050506217,0.0350519903756518,0.00439809191016483,-0.0174343568608438,-0.0565090492363707,-0.0626468962936846,0.0720750073707798,-0.0532666323566123,0.00810579273870532,-0.0216481481110399,-0.0214925198285885,0.0222333964763774,-0.0798757709754896,0.0821040331784037,-0.00529406180683033,0.00962392729231846,-0.00860571623089587,-0.0117517779443513,0.0628995729088767,-0.0275878613373172,0.0608753742594016,0.0425002822949407,-0.0484418834017623
"Raw47",0.105180332429048,-0.0874813067978744,0.105590008669091,-0.0241833895249728,0.077297314000179,-0.00517802692008372,0.0261652426075514,-0.0481617501960663,0.0353114054704565,-0.0355754971611261,0.0230215195126866,-0.0163090717176901,-0.016914402803437,0.00950445124757519,-0.0100495633186076,-0.0341239321704833,0.0226558660126322,-0.0251396874721987,0.0226566896660563,0.0253052586721971,-0.0164514631273661,0.0426969798462561,-0.00168402876807461,0.0191769350611627,-0.0285876746317775,0.0017637779399461,-0.0515806146505839,0.0272306536726638
"Raw48",0.0433747468111735,0.0570631984506303,-0.0572537433087783,0.0358199592040314,-0.0582149272951484,-0.0258658834011285,0.00821723895807988,-0.0572841267745632,0.051203887007956,0.0279621881634396,0.0321120830425909,-0.0302800134178503,0.000821322574394211,-0.0228256737569365,-0.0125712442389559,0.0438995558628089,-0.0480195701212854,-0.0111957939162884,-0.0104174384762426,-0.0584063652826678,0.0646779875703492,-0.00297632192836086,0.0128911208021779,-0.0882846107555747,0.0766802928829613,0.0617001353897593,-0.0328357974377449,0.0305067580643963
"Raw49",0.053115235865461,-0.00284146964856435,0.00197701752919461,0.0225441687248521,-0.0651516654778853,-0.000639178653171915,0.00154569847513885,0.0874092903955409,-0.0698949052398071,0.0363593743082221,-0.0471751597822458,0.0471749668073869,-0.0116425637907374,-0.00727525132544357,0.00472051758511303,-0.0766651419311601,0.070048138357644,0.0153417040101003,-0.0117143337558185,-0.0129822708629303,0.000475368549980612,0.0852090234376062,-0.112360262859476,-0.0599956090173258,0.0521668632874061,0.0160791017101971,0.0880226808841693,0.00836133801527238
"Raw50",0.0116044074474893,-0.0713554216377211,0.0732179934714594,0.0045804489140547,-0.0155439194178064,-0.0114085164649278,0.0546892677605632,-0.0119700694040043,0.0133109371265584,0.011079835740696,-0.00636898107180273,0.0210546607105256,-0.0473490122810558,0.0501675960023241,-0.0562370613594245,-0.126375794161849,0.110574349399032,0.0138580500550226,0.0210923005798934,0.0333012004838994,-0.0520090668581506,-0.0344908340775412,0.0503447270415062,-0.001006590393105,-0.00830847022872411,0.0157167656930869,-0.0241607441213708,0.0266801224993799
