"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Raw26",0.0323265186687723,0.00350987010281088,-0.0228167162009976,0.0270921094682818,-0.0222358644443175,0.120408509896415,-0.118512762466126,0.0524373937208562,-0.0553319560766648,-0.0330400865323984,0.0392474141207545,-0.049775886078424,0.0660482299030106,-0.0226584777021821,0.0307561715266729
"Raw27",0.0318540320939167,-0.0188345664409227,0.0240434253755595,0.0256743843229689,-0.0216384956703743,0.0249127881115846,-0.0210379064195855,-0.00294497107160993,0.0214494615358472,-0.0156040223975205,0.018407663665504,-0.0548789599993643,0.0312991760920914,0.0543066109759756,-0.0359158301942136
"Raw28",0.0329858499261619,0.0156110157540296,-0.0130318918859645,0.0269651941111885,-0.0368041290118529,0.0126543280452578,-0.0143911640309268,0.0210075867373268,-0.0636674933234517,0.0177445555600447,-0.0395354789993393,0.014031230466199,-0.00312166790145946,-0.0792580558705772,0.0631649604599606
"Raw29",0.0248189253015867,0.0672797302223947,-0.0737015448528994,0.031230494845013,-0.0260555559115533,0.00149918574792782,-0.00337080152377053,-0.0167065882248409,0.0409202328385424,-0.0120268168722328,0.0118697584102006,0.0256103331383853,-0.0124510683695964,0.00582314316740535,-0.00922385842650429
"Raw30",0.0224756528473661,-0.0228554345126714,0.00503809547696193,0.00942906442518983,-0.0043873031325811,0.00355974937693587,-0.0108255915828812,-0.025941386221425,0.0463131190137463,0.0147588002330131,0.032249602788889,-0.0574994715976753,0.0182407269976598,0.0143153102251892,-0.041112273463604
"Raw31",0.000478135194316877,0.068254016004125,-0.0821638709463469,-0.033847060929281,0.0387946992777692,-0.0389052475975962,0.0330014205560182,0.0798262340564362,-0.0648055810775566,-0.0162481950432679,0.0165411009699489,0.00716185689806149,-0.0407682328361445,-0.0966312775412064,0.0882757027027785
"Raw32",0.0396692788851024,-0.0407196151171839,0.0376446086142745,0.0724202299417837,-0.064091949461295,0.042424625485889,-0.0402573444089822,-0.0238113679703195,0.0198897484103903,-0.0168455010072136,0.0781574033637373,-0.061181811756252,0.0847619869742234,-0.0179589660578426,0.0154061857456943
"Raw33",-0.0189293712389941,-0.0174141564206818,-0.00478040822623018,-0.0603793952754446,0.0559072558896253,0.0225398212170191,-0.024960049724378,0.00403889422969495,-0.0170523848247448,0.0118490358751076,-0.0257019554117459,0.00619411692107928,-0.0170827055419244,0.0125542680040988,-0.0178629842172016
"Raw34",0.0345706556811551,-0.0255598605657511,0.028845873928457,0.0199902870901899,-0.0220171468444772,-0.00254092237815377,0.00560114593919956,-0.0125175740653283,-0.0307146289091892,-0.0490218371068057,0.0128252844993665,-0.013115654302979,0.0221872513033992,0.120825992599737,-0.109876004875558
"Raw35",0.0491424257418916,-0.0277854383247737,0.0345330774789551,-0.00876505548259897,0.0212697123722191,0.00403418612990634,-0.000164064298258314,0.018684805198842,-0.0407994059001095,-0.0668459068060963,0.107919319869956,-0.00777596301958918,0.0391808841589856,0.00681686039943841,0.000676515633625584
"Raw36",0.0397851785763116,0.0172079716001223,-0.0113913466727717,0.115738728221932,-0.121163403146247,-0.0212141586361265,0.0189697681091389,-0.0393580658127426,0.0534989948042234,0.0505902450122337,-0.0399809458503844,-0.00428984372709746,-0.0108617953808964,0.0711166648019148,-0.0747691506280114
"Raw37",0.0181754339110853,0.00975372743442394,-0.0144346680232485,0.0292463752265594,-0.0320350776388372,-0.0096812270426177,0.00866552907618975,-0.0330477018306496,0.0432060435424023,0.0197043795794973,-0.0274210172450337,0.0798969529211569,-0.0585887065205547,-0.0202673884870052,0.00834795912294809
"Raw38",0.0448361441388515,0.0460868652222183,-0.0447329883372908,-0.028039286834039,0.0254203354649647,-0.0402686998143838,0.0424174218059206,-0.0206158753290658,0.0244696060232334,0.0196739959337047,-0.0302329337056589,0.0633369011449384,-0.0849452301201948,0.011066678106589,0.0150120748721685
